"Genotype","Run","Treatment","Composite_Week3","Composite_Week6","Composite_Score_Weighted"
"CN 105368","Run2","Saline",0.278920134376429,0.297885383431895,0.290299283809708
"CN 110931","Run2","Saline",0.180798612096594,0.334682945809697,0.273129212324456
"CN 120258","Run2","Saline",0.377477167269951,0.197882477747511,0.269720353556487
"CN 111006","Run2","Saline",-0.154475581720372,0.548801640560019,0.267490751647862
"CN 105384","Run2","Saline",-0.0889683010005531,0.503384797134365,0.266443557880398
"CN 105355","Run2","Saline",0.251927205513891,0.268998129927399,0.262169760161996
"CN 105363","Run2","Saline",0.0598368085938921,0.385554418260233,0.255267374393696
"CN 105347","Run2","Saline",0.174677095061108,0.307462743939487,0.254348484388135
"CN 107754","Run2","Saline",0.0219816135211772,0.405766163134206,0.252252343288994
"CN 119225","Run2","Saline",0.201978029565254,0.273997823114343,0.245189905694707
"CN 105360","Run2","Saline",0.281456907281763,0.207025001510342,0.23679776381891
"CN 119162","Run2","Saline",0.0874314240446896,0.332639367698994,0.234556190237272
"CN 105308","Run2","Saline",0.10041771384689,0.310654656217277,0.226559879269122
"CN 110990","Run2","Saline",0.319224913614761,0.162779694471361,0.225357782128721
"CN 105392","Run2","Saline",0.444564087533077,0.0725166189594405,0.221335606388895
"CN 105356","Run2","Saline",0.354801416170011,0.127487527437417,0.218413082930455
"CN 105352","Run2","Saline",0.20417552559911,0.227497799265752,0.218168889799095
"CN 105348","Run2","Saline",0.131630189613701,0.269392266016847,0.214287435455589
"CN 105313","Run2","Saline",-0.160123417446308,0.454716280928967,0.208780401578857
"CN 105283","Run2","Saline",-0.0283888130890679,0.363156803675397,0.206538556969611
"CN 105287","Run2","Saline",-0.0304022894932711,0.360657473643468,0.204233568388772
"CN 105353","Run2","Saline",0.188391744212116,0.206198060798047,0.199075534163674
"CN 110976","Run2","Saline",0.160931020521672,0.222285142711339,0.197743493835472
"CN 119129","Run2","Saline",0.119316803166187,0.241253081466306,0.192478570146258
"CN 113204","Run2","Saline",-0.0697888664908446,0.366822627429106,0.192178029861126
"CN 105372","Run2","Saline",0.234294214759109,0.163617943997391,0.191888452302078
"CN 105288","Run2","Saline",0.142281968722515,0.221710089754844,0.189938841341913
"CN 105296","Run2","Saline",0.0460771306968217,0.284219096168325,0.188962309979724
